"id","equity","numeroValore","ticker"
804,"Royal Dutch Shell","1987674EU","RDSA.AS"
1692,"MELLON OFFSHORE GLOBAL OPP FUND","1990631","battle23"
1657,"Tipico Spa","19948","bigmac35"
1691,"GLS OFFSHORE GLOBAL OPP. FUND CLASS BNR S1","1997680","battle22"
170,"AGF","201655EU","AGF.PA"
1407,"Daiichi Sankyo","2082619JP","4568.T"
1495,"Arpida N","2121806CH","ARPN.S"
1402,"Seven & I Holdings","2131750JP","3382.T"
1135,"Antena 3 TV","2133509EU","A3TV.MAC"
1498,"Speedel Holding N","2148388CH","SPPN.S"
1400,"Panalpina N","216808CH","PWTN.S"
778,"Banco Popular","2197353EU","POP.MAC"
1051,"Zellweger","221342CH","ZEL.S"
1747,"ARCELOR MITTAL","2225769EU","MT.AS"
1757,"Schifffahrtsgesellschaft des Vierwaldstaettersees","227567CH","227567CH"
1758,"Seebad Luzern","229982CH","229982CH"
925,"AT&T","230973CH","T.S"
924,"AT&T Corp.","2342429US","T"
675,"TELENT Plc","2355662GB","TLNT.L"
913,"SULZER N","237645CH","SUN.S"
1600,"Parti Ostvalor","242300","palace42"
1710,"SASEA HOLDING","243100","bianchi1"
293,"Bucher HDL I","243217CH","BUCN.S"
1571,"Lagardere Sca","24495","palace14"
974,"UBS AG Na","2489948CH","UBSN.S"
1078,"SGS Surveillance","249745CH","SGSN.S"
1543,"ARKEMA","2536519EU","AKE.PA"
164,"Aegon NV Common Stock","2545785EU","AGN.AS"
985,"Unilever NV Common Stock","2560588EU","UNA.AS"
1076,"Logitech N","2575132CH","LOGN.S"
1650,"Certificato opzione put su Swisscom","2646998CH","SCMNP.S"
435,"Elsevier NV Common Stock","273044EU","REN.AS"
1750,"Petroplus","2775224CH","PPHN.S"
1584,"Onda Asia","279152","palace26"
1794,"FR 20 Schweiz Vreneli","281383CH","281383CH"
1717,"South Africa Kruegerrand monete","281624","bianchi8"
1718,"Argento once","287613","bianchi9"
1720,"PKB INTERNATIONAL EQUITIES FUND","287770","bianchi11"
238,"Julius Baer","2975865CH","BAER.S"
618,"Liechtensteinische Landesbank AG","3019524CH","LLB.S"
1721,"GUIDANT CORP","306375","bianchi12"
1764,"Covidien Ltd","3196412US","COV"
1762,"Tyco Electronics Ltd","3202239US","TEL"
1877,"Cominvest Fondak","322378EU","HJVD.F"
191,"Allianz AG","322646CH","ALV.S"
189,"ALLIANZ AG","322646EU","ALV.XE"
284,"STMicroelectronics","322853EU","null23"
242,"BASF AG","323600EU","BAS.XE"
286,"Bayer AG Leverkusen","324230CH","BAYG.S"
246,"BAYER AG","324230EU","BAY.XE"
910,"STMicroelectronics","324774EU","STM.PA"
1166,"STMicroelectron Common Stock","324774MI","STM.MI"
1620,"British Sky Broadcasting Plc","325444","bigmac1"
1031,"Washington Mut Common Stock","325959US","WM"
291,"Commerzbank AG","327650D","null45"
307,"Commerzbank AG","327650EU","CBK.XE"
197,"Daimler Benz AG","328135CH","null24"
198,"Daimler Benz AG","328135D","null25"
199,"Deutsche Bank AG","328500D","null44"
200,"Deutsche Bank AG","328500EU","null26"
1634,"SBC Comm Inc.","330544","bigmac14"
415,"Dresdner Bk AG","330650D","DRSDn.DE"
202,"Hoechst AG","332290EU","null43"
475,"Fresenius Medi Common Stock","332900","FME.XE"
174,"AHOLD","3333424EU","AH.AS"
143,"Barrick Gold Common Stock","337680US","ABX"
1595,"KALI UND SALZ AG","337898","palace37"
1656,"Banco di Desio e della Brianza SPA","338638","bigmac34"
614,"LINDE AG","340045EU","LIN.XE"
204,"Mannesmann AG","340650EU","MMNGn.DE"
639,"MAN AG","340813EU","MAN.XE"
684,"Münchener Rückvers.","341960EU","MUV2.XE"
782,"Preussag AG","344930EU","TUI.XE"
843,"SAP AG","345952EU","SAP.XE"
844,"SAP AG","345952ZH","SAP.S"
211,"SAP AG VZ","345953EU","null27"
853,"Schering AG","347045EU","SCH.XE"
213,"SIEMENS","347964D","null42"
214,"SIEMENS","347964EU","null28"
1621,"Thyssen Ag","350060","bigmac2"
1457,"Kuoni Reisen Holding SA","350485CH","KUNN.S"
622,"Lockheed Martin Common Stock","351011","LMT"
446,"E.ON","351020CH","EONG.S"
220,"E.ON","351020D","null41"
1013,"Volkswagen AG","352780CH","VW.S"
1011,"Volkswagen AG","352780EU","VOW.XE"
1747,"ARCELOR MITTAL","3529315EU","MT.AS"
224,"BASF AG","353600D","null20"
871,"SGL Carbon","355063EU","SGL.F"
147,"Autostrade Conc. E Costr. Autostrade","357775EU","AUTO.MI"
1462,"Super de Boer NV","3640946EU","SDB.AS"
228,"Simint SpA","370717EU","SIMI.MI"
1653,"Vasomedical Inc.","371028","bigmac31"
1638,"Barclays Plc","371770","BARC.L"
245,"British Airways","374255GBP","BAY.L"
1411,"FEI Co","374733US","FEIC"
230,"Zurigo Na","375028CH","null5"
231,"WorldCom","375270US","null30"
1558,"British Telecom Plc","375489","palace2"
1515,"Nobel Biocare","3785164CH","NOBN.S"
1581,"CGNU PLC","379609","palace23"
1582,"QLT Phototherapeutics Inc.","380517","palace24"
697,"Nestle Na","3886335CH","NESN.S"
1828,"Electronic Materials","389915","bang6"
1830,"Freeport McMoran Copper & Gold Inc","391280","FCX"
785,"Prudential Common Stock","401267GB","PRU.L"
803,"Royal Bk Scotld Common Stock","403197GB","RBS.L"
1583,"J. Sainsbury Plc","403712","palace25"
1567,"Anormed Inc","405964","palace10"
552,"HSBC Common Stock","411161GB","HSBA.L"
1626,"Thyssen Krupp Ag","412006","bigmac7"
1690,"YORK INVESTMENT LTD CLASS A SERIES 1 2002","415772","battle21"
1637,"TERA COMPUTER","415981","bigmac17"
1009,"Vodafone Group Common Stock","416029GB","VOD.L"
235,"SBC Na","42204CH","null6"
445,"E.ON","4334819EU","EOAN.XE"
1648,"LYNX Therapeutics Inc","435012","bigmac28"
1283,"Creinvest SA","442297CH","CRE-USD.S"
241,"Novartis Ia","445885CH","null21"
632,"Lucent Tech.","448595US","LU"
1800,"Reinet Investment","4503016EU","RNT.GMU"
902,"SPY","45088US","SPY.N"
1885,"Cell Therapeutics","4536046US","CTIC.O"
331,"Ciba Special Common Stock","4604230CH","CIBN.S"
722,"Novo Nordisk ADR","461641US","NVO.N"
625,"Logista SA","467061EU","LOG.MAC"
706,"Nokia OYJ","472672EU","NOK1V.OMX"
705,"Nokia Corp ADR","472721US","NOK.N"
1866,"Time Warner Cable","4748934US","TWC"
1710,"DH Taipan Portfolio","479844","bianchi15"
2195,"Transocean","4826551US","RIG.N"
144,"ACCOR","485822EU","AC.PA"
1579,"Alcatel","485864","palace21"
325,"Alcatel PS","485864CH","AAC.S"
324,"Alcatel","485864EU","ALU.PA"
1598,"AXA Paris","486352","CS.PA"
384,"Groupe Danone Common Stock","487663EU","BN.PA"
301,"CAP Gemini","488070EU","CAP.PA"
302,"Carrefour","488167EU","CA.PA"
873,"CIE DE SAINT-GOBAIN","490580EU","SGO.PA"
1622,"British Energy Plc","494199","bigmac3"
178,"AIR LIQUIDE","502455EU","AI.PA"
740,"L Oreal Common Stock","502805EU","OR.PA"
1684,"SAM THE VOLATILITY DRIVEN FUND","503473","battle16"
1629,"AT & T CORP ""A"" Liberty Media","503492","bigmac10"
1613,"NASDAQ 100 TRUST SERIES","503594","palace53"
603,"LAFARGE","504482EU","LG.PA"
636,"LVMH Common Stock","507170EU","MC.PA"
854,"Schneider Electric","509120EU","SU.PA"
166,"Rhone - Poulenc A","511029EU","null7"
1753,"Willis Lease Finance","519101US","WLFC.O"
892,"SOC GEN","519928EU","GLE.PA"
363,"Rolo Banca 1473","520872EU","CROI.MI"
420,"Durban Roodepoort","521514SA","DURJ.J"
1599,"Suez Nanterre","522001","palace41"
953,"TotalFinaElf Common Stock","524773EU","FP.PA"
1669,"FOCUS ARBITRAGE FUND","529247.9","battle3"
1630,"TCI Sat Enterteinment Inc.","546368","bigmac11"
171,"Synthes-Stratec","551581CH","SYST.S"
882,"Schlumberger Ltd Common Stock","555100US","SLB"
1759,"Donana","558577EU","558577EU"
694,"NCR Corp","560034US","NCR"
1714,"ALLEANZA ASSICURAZIONI SPA","565855","bianchi5"
492,"Ass. Generali SpA","566030EU","G.MI"
762,"B.POP Bergamo","566636EU","PBCV.MI"
360,"Unicredito","569105EU","UC.MI"
651,"Mediobanca SpA Common Stock","574959EU","MB.MI"
1640,"Banca Intesa","575914","bigmac20"
770,"PIRELLI C SPA","576546EU","PC.MI"
331,"Ciba Spez. Na","581972CH","CIBN.S"
1617,"Ciena","582383","palace57"
1715,"VILLA D'ESTE SPA","585483","bianchi6"
179,"Royal Dutch ","587843CH","RD.S"
1377,"Royal Dutch ","587843EU","RDA.AS"
1014,"VPBK Vaduz I","591288CH","VPB.S"
1711,"COMP OCC POUR LA FINANCE ET INDUSTR","593414","bianchi2"
184,"HPI SpA","597747","null8"
1666,"WORLD INVEST SICAV ABSOLUTE RETURN","600594","battle1"
1608,"JB Multicash Eur","600916","palace49"
135,"ABN AMRO Holding","603768EU","AABA.AS"
175,"AHOLD","608511CH","AHO.S"
1563,"Onda America","61059","palace6"
1459,"Telefon AB. LM. Ericcson","614663SEK","ERIC-B.OMX"
451,"Ericcson B ZT CH","614665CH","ERICZ.S"
1102,"Danzas SA","621300CH","null9"
192,"Rentenanstalt","623098CH","null31"
193,"ABB SA","625432CH","null10"
525,"Hagemeyer NV Common Stock","627944EU","HGM.AS"
1635,"Ziff-Davis Inc.","631319","bigmac15"
1557,"LHS GROUP INC.","645948","palace1"
832,"Rentokil Initial Common Stock","647054GB","RTO.L"
1688,"PAULSON INTERNATIONAL LTD S. 1","649235","battle19"
1760,"Integrated Asset Management","650745GB","IAM.L"
1590,"Vedior NV","651150","palace32"
685,"Morgan Stanley","653571US","MS"
321,"CENTERPULSE","654485CH","CEPN.S"
1084,"Mizuho Financial Group","6591014SEDOL","8411.T"
613,"Lufthansa Common Stock","667979EU","LHA.XE"
1568,"Wolters Kluver Nv","674614","palace11"
972,"Tyco Int.","674698US","TYC"
269,"Billiton Common Stock","675391GB","BLT.L"
1618,"Repsol YPF SA","675467","palace58"
107,"Baloise HLD N","675531CH","null49"
1426,"At Home Corp","678049US","ATHMQ.OI"
734,"OLIVETTI & C. SPA","678563EU","OL.MI"
110,"Telecom Italia S.p. a.","680799IT","null48"
428,"Eden Roc Min.","687237TO","EDN.TO"
113,"Unilever","690500CH","null32"
114,"Unilever","690500EU","null33"
115,"Unilever","690500NLG","null34"
846,"Smithkline  Beecham","696149GBP","SB.L"
754,"Placer Dome Inc Common Stock","697727CA","PDG.TO"
753,"Placer Dome Inc Common Stock","697727US","PDG.N"
845,"Sanofi-Aventis","699381EU","SAN.PA"
929,"Toronto Dominion Common Stock","701890","TD.TO"
149,"ACS Cons Y Serv Common Stock","711746EU","ACS.MAC"
1652,"Hiestand Holding Ag","718698","bigmac30"
1601,"France Telecom SA","720128","FTE.PA"
1373,"Samsung Electronics","721825US","721825US"
466,"Grupo Ferrovial Common Stock","737860CH","737860CH"
237,"Bank of America","748628US","BAC"
983,"Unilever cert CH","748805CH","UN.S"
985,"Unilever","748805EU","UNA.AS"
124,"Unilever Pref.","748810EU","null50"
79,"Canon Inc Common Stock","761599JP","7751.T"
1346,"Chugai Pharmaceutical Ltd.","761611JP","4519.T"
1328,"Daikin Industries Ltd","761643JP","6367.T"
