"INDEX","Convertible Bonds Arbitrage","CTA Long Term","CTA Short Term","Event Driven - Distressed","Event Driven - Merger Arbitrage","Event Driven - Special Situations","Fixed Income Arbitrage","Global Macro","L/S Credit Arbitrage","L/S Equity - Long Bias","L/S Equity - Market Neutral","L/S Equity - Short Bias","L/S Equity - Variable Bias","Statistical Arbitrage","COMPOSITE","Emerging Markets","Top 10","Credit Strategies"
08/03/2004,1151.89448209625,1395.44010128804,956.730909164017,956.05414776174,1093.20278284654,1223.36504813488,1069.24681857052,1137.16029023608,1001.91011937141,1145.04202582821,1118.11788212097,939.094260286626,1196.68344201418,1107.91541546196,1157.24781945092,978.289436654644,1147.08593561894,1182.67083932671
08/10/2004,1153.45669058742,1400.70102000693,966.470068794237,962.246725818701,1093.43357858296,1215.48817389853,1068.63049015744,1127.56896739914,1003.92077442386,1138.81921387912,1114.57748836413,953.750658227112,1187.10997653088,1106.79444630236,1153.40887100788,981.195567414347,1141.15362615594,1182.20404166824
08/17/2004,1154.36358426102,1403.32253655488,965.693215229489,956.154028052981,1095.35221959541,1214.9595073131,1070.57637856537,1113.49064232411,1005.53618257825,1141.57379333053,1116.22559320693,944.254157435089,1187.95740038428,1106.8365872966,1153.66373547398,980.144822296745,1141.70450824007,1184.06914894938
08/24/2004,1157.43139589775,1358.71146438087,963.061464083305,950.66061203471,1102.86957073731,1218.16826507751,1072.48626753232,1123.97500137071,1011.04335347471,1145.81770038354,1118.79870351468,936.36155100316,1190.98942964988,1106.95886643604,1152.75807805384,980.065247776838,1142.83193284551,1186.91093724241
08/31/2004,1157.74365858523,1366.4856420342,972.709433471477,962.2467258187,1103.38610317175,1218.64908894216,1071.64142806814,1106.75479973172,1012.10770034064,1149.9771388868,1120.7565178304,931.307440218705,1195.06345430023,1107.36497206503,1154.35543593543,981.745688215432,1144.0830433406,1187.63752336958
09/07/2004,1158.83881782606,1339.35689789896,961.853975176958,952.558337568294,1102.26614607314,1221.77937516089,1078.33885640411,1125.99109761218,1014.27878182454,1158.81950398498,1122.75175972497,920.389777817024,1203.14207831166,1106.4325141519,1156.37583788669,982.711044992412,1145.2721847929,1192.74400953135
09/14/2004,1156.28879462607,1352.96655951852,955.153159531885,947.764083588712,1103.19778926412,1227.23289081058,1073.33152912184,1103.48710290724,1018.1731009712,1160.41782983287,1120.50654110009,913.382847078321,1210.23165031466,1110.35856486857,1158.46679443895,984.570494000494,1151.48614196727,1189.46961359261
09/21/2004,1154.01307907153,1372.00397100178,952.948942477413,953.357379898225,1105.21602326922,1224.6100403094,1068.77146538946,1085.32723518749,1023.86185357599,1164.73314226461,1123.79282741024,911.137415905053,1214.36569780005,1110.49102195849,1159.83404170568,987.739764540815,1152.20948843215,1184.59680583184
09/28/2004,1154.13162376408,1394.65539226778,967.643370185592,942.170787279199,1105.26486430103,1227.17275151817,1069.27559769787,1077.7217742379,1023.40334630692,1159.54484295055,1126.0626448315,924.389480658437,1212.9549215067,1109.15970191961,1161.3168632424,986.623674520359,1152.98573276442,1185.63046154478
10/05/2004,1153.72440345618,1397.20873117214,968.822943299244,940.073301163132,1111.77828174636,1234.27897764997,1083.93299454937,1105.5708435369,1027.63107569781,1165.07027750347,1127.69326571463,909.270209171318,1221.58942339037,1111.04291407386,1167.90948780462,990.527781631313,1154.14312806617,1196.22497691896
10/12/2004,1151.4024321533,1416.59878779468,978.047136601558,945.866358055127,1109.30669377971,1237.10285094848,1083.49210106239,1092.77617349378,1029.19223190339,1157.53758814849,1130.42507780019,925.902379076131,1218.63435969159,1111.36848362743,1168.02644830013,990.643845473526,1154.64205506427,1195.04651976157
