Categoria,Moneta,Nome,Quantita,Valore EUR
Prodotti strutturati,GBP,20120313 - 3I Infrast Wt,10300,1525.15992607861
Prodotti strutturati,USD,20101119 - 19% Multi Barrier Reverse Convertible 19.11.10,75000,53521.9276423342
Prodotti strutturati,USD,20110902 - 18.20% Triple ICE JBAER XOM/GE/MSFT,100000,74134.6222190632
Prodotti strutturati,USD,20120301 - BAER Cert on Uranium Basket,3000,90731.3952661881
Prodotti strutturati,USD,21001231 - Certificato ORO,6000,5315729.61830976
Saldi in Cto. Corrente,AUD,AUD-aud,-0.000238418579101562,-0.000168463934526166
Saldi in Cto. Corrente,CAD,CAD-cad,-0.0010623413400026,-0.000752085368103677
Saldi in Cto. Corrente,CHF,CHF-192162-51-3,1.01,0.752663448655335
Saldi in Cto. Corrente,CHF,CHF-CallGeld CASSA-CALL GELD,27.15,20.2324877534577
Saldi in Cto. Corrente,CHF,CHF-CallGeld JB-CALL GELD,2530000,1885384.67831485
Saldi in Cto. Corrente,CHF,CHF-chf,224699.502986291,167448.61666218
Saldi in Cto. Corrente,DKK,DKK-dkk,126228.61,16932.0228777153
Saldi in Cto. Corrente,EUR,EUR-192162-52-19,284204.329518033,284204.329518033
Saldi in Cto. Corrente,EUR,EUR-CallGeld CASSA-CALL GELD,620.72,620.72
Saldi in Cto. Corrente,EUR,EUR-CallGeld CS-CALL GELD,3724000,3724000
Saldi in Cto. Corrente,EUR,EUR-CallGeld JB-CALL GELD,1880000,1880000
Saldi in Cto. Corrente,EUR,EUR-eur,18025345.2524654,18025345.2524654
Saldi in Cto. Corrente,GBP,GBP-192162-52-10,-23960.606257866,-27291.8270866659
Saldi in Cto. Corrente,GBP,GBP-CallGeld CS-CALL GELD,0,0
Saldi in Cto. Corrente,GBP,GBP-CallGeld JB-CALL GELD,109000,124154.168739783
Saldi in Cto. Corrente,GBP,GBP-gbp,-1047962.13305219,-1193659.33486113
Saldi in Cto. Corrente,IDR,IDR-idr,-0.00218749046325684,-0.000000174406068070553
Saldi in Cto. Corrente,JPY,JPY-192162-52-9,-0.0000328136957250535,-0.000000287163297605586
Saldi in Cto. Corrente,JPY,JPY-jpy,1600000,14002.1191157123
Saldi in Cto. Corrente,MXN,MXN-mxn,0.0000000000582076609134674,0.00000000000333110504754798
Saldi in Cto. Corrente,NOK,NOK-CallGeld jb-CALL GELD,1400000,173162.496129169
Saldi in Cto. Corrente,NOK,NOK-nok,24573.96,3039.49160955596
Saldi in Cto. Corrente,NZD,NZD-nzd,-0.0000000000582076609134674,-0.0000000000313483152136856
Saldi in Cto. Corrente,PLN,PLN-pln,0,0
Saldi in Cto. Corrente,USD,USD-192162-52-8,-192498.365613751,-136824.483341923
Saldi in Cto. Corrente,USD,USD-CallGeld CASSA-CALL GELD,38.12,27.0950316298244
Saldi in Cto. Corrente,USD,USD-usd,-16602495.9970861,-11800764.7999759
