Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
7/26/2000,5.91,7.99,,12.001,12.25,11.65
8/2/2000,5.95,7.92,,12.079,12.37,11.685
8/9/2000,5.95,7.86,,12.223,12.31,11.454
8/16/2000,6.04,7.91,,12.175,12.38,11.512
8/23/2000,6.04,7.86,,12.246,12.37,11.443
8/30/2000,6.08,7.92,,12.354,12.3,11.425
9/6/2000,6.04,7.81,,12.344,12.27,11.271
9/13/2000,6.03,7.8,,12.332,12.25,11.532
9/20/2000,5.99,7.86,,12.636,12.41,12.016
9/27/2000,5.98,7.78,,12.976,12.55,11.785
10/4/2000,5.94,7.82,,13.339,12.72,11.699
10/11/2000,5.92,7.76,,13.722,12.94,11.846
10/18/2000,5.97,7.76,,14.681,13.3,12.377
10/25/2000,6.02,7.8,,14.1,13.29,12.564
11/1/2000,5.99,7.89,,14.014,13.46,12.285
11/8/2000,6.02,7.96,,14.247,13.55,12.73
11/15/2000,5.94,7.84,,14.348,13.59,12.284
11/22/2000,5.93,7.8,,15.305,13.94,12.331
11/29/2000,5.89,7.8,,15.282,14.2,12.35
12/6/2000,5.73,7.65,,15.746,14.4,12.147
12/13/2000,5.72,7.62,,15.247,14.14,12.117
12/20/2000,5.61,7.41,,14.711,14.03,11.831
12/27/2000,5.6,7.46,,14.698,14.1,11.782
1/3/2001,5.43,7.43,,14.951,14.1,11.647
1/10/2001,5.46,7.27,,14.451,13.63,11.509
1/17/2001,5.49,7.3,,13.841,13.25,11.386
1/24/2001,5.5,7.3,,13.516,13.09,11.317
1/31/2001,5.41,7.03,,13.506,12.78,11.058
2/7/2001,5.38,7.07,,13.233,12.61,11.264
2/14/2001,5.41,7.14,,13.305,12.54,11.169
2/21/2001,5.49,7.14,,13.638,12.56,11.564
2/28/2001,5.42,6.93,,13.58,12.45,11.466
3/7/2001,5.42,6.91,,13.626,12.39,11.133
3/14/2001,5.38,6.86,,14.172,12.54,11.334
3/21/2001,5.3,6.75,,14.783,12.79,11.537
3/28/2001,5.28,6.92,,14.826,12.8,11.676
4/4/2001,5.34,6.82,,15.509,13.17,11.934
4/11/2001,5.44,6.98,,15.608,13.32,11.76
4/18/2001,5.52,6.96,,14.947,13.16,11.83
4/25/2001,5.54,6.97,,15.181,13.09,12.676
5/2/2001,5.61,6.87,,14.294,12.77,12.336
5/9/2001,5.49,6.74,,14.16,12.69,12.04
5/16/2001,5.51,6.92,,14.337,12.75,12.127
5/23/2001,5.55,6.89,,14.18,12.69,11.842
5/30/2001,5.52,6.94,,14.094,12.73,12.086
6/6/2001,5.42,6.72,,13.969,12.67,11.945
6/13/2001,5.49,6.72,,14.285,12.86,11.843
6/20/2001,5.41,6.68,,15.799,13.17,12.099
6/27/2001,5.37,6.72,,15.682,13.24,12.035
7/4/2001,5.51,6.83,,14.814,13.11,12.44
7/11/2001,5.44,6.75,,15.528,13.21,13.301
7/18/2001,5.42,6.58,,16.368,13.15,13.607
7/25/2001,5.37,6.6,,15.931,13.11,13.285
8/1/2001,5.3,6.46,,15.257,12.78,13.868
8/8/2001,5.29,6.43,,15.215,12.61,13.171
8/15/2001,5.2,6.45,,15.396,12.62,13.18
8/22/2001,5.22,6.42,,15.765,12.72,13.108
8/29/2001,5.19,6.3,,15.816,12.7,12.805
9/5/2001,5.33,6.48,,15.486,12.62,12.873
9/12/2001,4.75,6.37,,15.858,12.72,13.081
9/19/2001,5.2,6.29,,17.077,13.63,13.434
9/26/2001,5.26,6.3,,17.846,13.97,13.934
10/3/2001,5.08,6.2,,18.804,14.03,13.973
10/10/2001,5.16,6.26,,17.808,13.85,14.109
10/17/2001,5.11,6.2,,17.397,13.55,13.503
10/24/2001,5.02,6.21,,17.626,13.56,13.565
10/31/2001,4.89,6.08,,17.224,13.3,13.908
11/7/2001,4.71,5.99,,17.005,13.14,13.654
11/14/2001,4.88,6.21,,16.806,13.02,13.951
11/21/2001,5.05,6.53,,16.008,12.69,14.253
11/28/2001,5.11,6.47,,15.78,12.57,14.2
12/5/2001,5.06,6.46,,17.914,12.65,11.969
12/12/2001,5.06,6.49,,18.014,12.83,11.888
12/19/2001,5.11,6.56,,18.001,12.89,12.045
12/26/2001,5.17,6.67,,17.837,12.91,12.28
1/2/2002,5.22,6.61,,15.805,12.76,11.484
1/9/2002,5.17,6.47,,15.247,12.55,11.332
1/16/2002,5.09,6.28,,15.294,12.56,11.363
1/23/2002,5.17,6.42,,15.667,12.66,11.207
1/30/2002,5.29,6.45,,16.397,12.67,11.394
2/6/2002,5.29,6.59,,15.836,12.36,11.278
2/13/2002,5.41,6.63,,15.904,12.4,11.106
2/20/2002,5.38,6.56,,16.332,12.47,10.951
2/27/2002,5.37,6.46,,16.937,12.54,10.841
3/6/2002,5.52,6.62,,16.335,12.29,10.661
3/13/2002,5.57,6.79,,15.97,12.13,10.744
3/20/2002,5.57,6.91,,15.652,12.03,10.755
3/27/2002,5.61,6.86,,15.755,12.04,10.807
4/3/2002,5.6,6.83,,15.212,11.96,10.683
4/10/2002,5.57,6.79,,15.048,11.9,10.587
4/17/2002,5.56,6.74,,14.942,11.82,10.497
4/24/2002,5.52,6.7,,14.962,11.75,10.546
5/1/2002,5.54,6.81,,14.986,11.44,10.681
5/8/2002,5.62,6.9,,15.38,11.57,10.834
5/15/2002,5.73,6.9,,15.268,11.61,10.834
5/22/2002,5.61,6.75,,15.685,11.65,10.879
5/29/2002,5.6,6.66,,15.388,11.62,10.917
6/5/2002,5.59,6.41,,14.62,11.77,11.165
6/12/2002,5.55,6.4,,14.44,12.05,11.504
6/19/2002,5.45,6.2,,14.485,12.08,11.572
6/26/2002,5.52,6.35,,15.187,13.05,12.297
7/3/2002,5.53,6.45,,15.219,13.14,12.313
7/10/2002,5.51,6.3,,15.374,13.03,12.033
7/17/2002,5.5,6.43,,15.686,13.13,11.916
7/24/2002,5.41,6.48,,15.895,13.54,12.221
7/31/2002,5.35,6.47,,15.81,13.49,13.226
8/7/2002,5.23,6.37,,16.1,13.44,12.563
8/14/2002,5.16,6.31,,16.294,13.65,12.81
8/21/2002,5.26,6.23,,16.346,13.43,12.276
8/28/2002,5.15,6.18,,15.815,13.01,12.06
9/4/2002,5,6.02,,15.672,13.18,12.098
9/11/2002,5.04,6.14,,15.454,13.18,12.05
9/18/2002,4.86,5.89,,15.452,13.04,12.383
9/25/2002,4.89,5.95,,16.424,13.53,12.566
10/2/2002,4.9,5.89,,16.896,13.57,12.558
10/9/2002,5.01,6.15,,18.016,14.2,12.685
10/16/2002,5.23,6.46,,17.562,14.18,12.725
10/23/2002,5.21,6.6,,16.478,14.15,12.316
10/30/2002,5.15,6.22,,15.685,13.89,12.005
11/6/2002,5.11,6.01,,14.94,13.34,11.793
11/13/2002,4.97,5.82,,15.318,13.19,11.633
11/20/2002,4.87,5.79,,14.821,12.76,11.227
11/27/2002,4.92,5.87,,14.214,12.51,11.351
12/4/2002,4.79,5.78,,14.143,12.35,11.205
12/11/2002,4.65,5.61,,14.241,12.42,11.084
12/18/2002,4.52,5.53,,13.959,12.27,10.902
12/25/2002,4.51,5.41,,14.032,12.23,10.823
1/1/2003,4.41,5.31,,13.769,12.03,10.677
1/8/2003,4.37,5.37,,12.806,11.5,10.461
1/15/2003,4.36,5.36,,11.891,11.35,10.498
1/22/2003,4.25,5.26,,12.066,11.46,10.69
1/29/2003,4.21,5.34,,12.186,11.58,10.628
2/5/2003,4.22,5.28,,11.998,11.56,10.594
2/12/2003,4.1,5.17,,11.969,11.67,10.536
