Name,BOFA ML EMU CORP. (E) - RED. YIELD,BOFA ML US CORP BBB-A ($) - RED. YIELD,ITRAXX CROSSOVER 5YR (EOD) SR15 - CDS PREM. BID,BOFA ML EUROPEAN CUR HY (E) - RED. YIELD,BOFA ML US HY MASTER II ($) - RED. YIELD,JPM EMBI+ COMPOSITE - BLENDED YIELD MAT
8/11/1999,5.04,7.6,,10.792,10.9,15.64
8/18/1999,4.88,7.43,,10.564,10.84,15.256
8/25/1999,4.82,7.3,,10.523,10.84,15.043
9/1/1999,4.99,7.55,,10.525,10.93,15.217
9/8/1999,5.07,7.51,,10.545,10.95,15.017
9/15/1999,5.17,7.5,,10.696,10.98,14.862
9/22/1999,5.09,7.48,,10.792,11.03,14.87
9/29/1999,5.11,7.53,,10.801,11.11,14.846
10/6/1999,5.26,7.59,,10.872,11.07,14.708
10/13/1999,5.36,7.65,,10.799,11.11,14.9
10/20/1999,5.5,7.7,,10.876,11.17,14.905
10/27/1999,5.43,7.7,,10.889,11.24,14.544
11/3/1999,5.29,7.5,,10.821,11.15,14.036
11/10/1999,5.16,7.46,,10.623,11.1,13.826
11/17/1999,5.14,7.51,,10.497,11.14,13.881
11/24/1999,5.3,7.56,,10.569,11.11,13.72
12/1/1999,5.26,7.63,,10.495,11.04,14.043
12/8/1999,5.23,7.54,,10.444,10.95,13.765
12/15/1999,5.23,7.65,,10.459,10.94,13.449
12/22/1999,5.39,7.78,,10.484,11.04,13.423
12/29/1999,5.43,7.74,,10.477,11.07,13.348
1/5/2000,5.58,7.9,,10.697,11.37,13.534
1/12/2000,5.6,7.94,,10.725,11.41,13.797
1/19/2000,5.63,7.92,,10.643,11.45,13.685
1/26/2000,5.61,7.87,,10.59,11.46,13.655
2/2/2000,5.61,7.92,,10.604,11.52,13.871
2/9/2000,5.67,7.98,,10.573,11.52,13.313
2/16/2000,5.71,7.94,,10.592,11.52,13.153
2/23/2000,5.62,7.87,,10.543,11.54,13.118
3/1/2000,5.68,7.91,,10.616,11.62,12.95
3/8/2000,5.67,7.93,,10.364,11.66,12.505
3/15/2000,5.65,7.88,,10.377,11.75,12.663
3/22/2000,5.53,7.81,,10.496,11.82,12.279
3/29/2000,5.58,7.87,,10.659,12.02,12.418
4/5/2000,5.51,7.75,,10.896,11.99,12.876
4/12/2000,5.55,7.89,,10.807,11.99,12.884
4/19/2000,5.62,7.88,,11.028,11.99,12.003
4/26/2000,5.65,8.03,,11,12.05,11.997
5/3/2000,5.83,8.29,,11.125,12.3,12.264
5/10/2000,5.83,8.39,,11.204,12.42,12.934
5/17/2000,5.98,8.47,,11.468,12.45,12.904
5/24/2000,5.93,8.46,,11.983,12.61,13.083
5/31/2000,5.9,8.4,,11.846,12.6,12.695
6/7/2000,5.78,8.19,,11.634,12.46,12.134
6/14/2000,5.85,8.11,,11.611,12.38,11.868
6/21/2000,5.89,8.14,,11.611,12.33,11.928
6/28/2000,5.95,8.14,,11.684,12.3,11.96
7/5/2000,5.92,8.02,,11.948,12.3,11.787
7/12/2000,5.95,8.07,,11.929,12.32,11.735
7/19/2000,6.02,8.12,,11.934,12.25,11.817
