"","Ticker","Close","TRADE_DATE"
"602","2742261CH",70.54,"2009-06-04 00:00:00.000"
"603","2742261CH",70.73,"2009-06-05 00:00:00.000"
"604","2742261CH",70.79,"2009-06-08 00:00:00.000"
"605","2742261CH",70.6,"2009-06-09 00:00:00.000"
"606","2742261CH",70.85,"2009-06-11 00:00:00.000"
"607","2742261CH",71.06,"2009-06-12 00:00:00.000"
"608","2742261CH",71.11,"2009-06-15 00:00:00.000"
"609","2742261CH",70.37,"2009-06-16 00:00:00.000"
"610","2742261CH",70.37,"2009-06-17 00:00:00.000"
"611","2742261CH",69.59,"2009-06-18 00:00:00.000"
"612","2742261CH",70.27,"2009-06-22 00:00:00.000"
"613","2742261CH",69.41,"2009-06-24 00:00:00.000"
"614","2742261CH",70.33,"2009-06-25 00:00:00.000"
"615","2742261CH",70.2,"2009-06-29 00:00:00.000"
"616","2742261CH",70.74,"2009-06-30 00:00:00.000"
"617","2742261CH",70.49,"2009-07-01 00:00:00.000"
"618","2742261CH",70.94,"2009-07-02 00:00:00.000"
"619","2742261CH",70.11,"2009-07-03 00:00:00.000"
"620","2742261CH",70.01,"2009-07-06 00:00:00.000"
"621","2742261CH",69.98,"2009-07-07 00:00:00.000"
"622","2742261CH",69.64,"2009-07-08 00:00:00.000"
"623","2742261CH",69.29,"2009-07-09 00:00:00.000"
"624","2742261CH",69.32,"2009-07-10 00:00:00.000"
"625","2742261CH",68.87,"2009-07-13 00:00:00.000"
"626","2742261CH",69.35,"2009-07-14 00:00:00.000"
"627","2742261CH",69.76,"2009-07-15 00:00:00.000"
"628","2742261CH",70.52,"2009-07-16 00:00:00.000"
"629","2742261CH",70.73,"2009-07-17 00:00:00.000"
"630","2742261CH",71.08,"2009-07-20 00:00:00.000"
"631","2742261CH",71.39,"2009-07-21 00:00:00.000"
"632","2742261CH",71.61,"2009-07-22 00:00:00.000"
"633","2742261CH",71.61,"2009-07-23 00:00:00.000"
"634","2742261CH",72.48,"2009-07-24 00:00:00.000"
"635","2742261CH",72.53,"2009-07-27 00:00:00.000"
"636","2742261CH",72.69,"2009-07-28 00:00:00.000"
"637","2742261CH",72.38,"2009-07-29 00:00:00.000"
"638","2742261CH",72.86,"2009-07-30 00:00:00.000"
"639","2742261CH",73.7,"2009-07-31 00:00:00.000"
"640","2742261CH",73.64,"2009-08-03 00:00:00.000"
"641","2742261CH",73.73,"2009-08-04 00:00:00.000"
"642","2742261CH",73.66,"2009-08-05 00:00:00.000"
"643","2742261CH",73.56,"2009-08-06 00:00:00.000"
"644","2742261CH",73.93,"2009-08-07 00:00:00.000"
"645","2742261CH",74.43,"2009-08-10 00:00:00.000"
"646","2742261CH",74.06,"2009-08-13 00:00:00.000"
"647","2742261CH",74.04,"2009-08-17 00:00:00.000"
"648","2742261CH",73.26,"2009-08-18 00:00:00.000"
"649","2742261CH",73.59,"2009-08-19 00:00:00.000"
"650","2742261CH",73.65,"2009-08-20 00:00:00.000"
"651","2742261CH",74.18,"2009-08-21 00:00:00.000"
"652","2742261CH",75.06,"2009-08-24 00:00:00.000"
"653","2742261CH",75.43,"2009-08-25 00:00:00.000"
"654","2742261CH",75.37,"2009-08-26 00:00:00.000"
"655","2742261CH",75.44,"2009-08-27 00:00:00.000"
"656","2742261CH",75.41,"2009-08-28 00:00:00.000"
"657","2742261CH",75.5,"2009-08-31 00:00:00.000"
"658","2742261CH",75.37,"2009-09-01 00:00:00.000"
"659","2742261CH",74.74,"2009-09-02 00:00:00.000"
"660","2742261CH",74.56,"2009-09-03 00:00:00.000"
"661","2742261CH",74.49,"2009-09-04 00:00:00.000"
"662","2742261CH",75.02,"2009-09-07 00:00:00.000"
