"Data","Link","UK INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","SWITZERLAND IBK. 1 MTH (LDN:BBA) - OFFERED RATE","EURO INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","JAPAN INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","CANADA INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE","AUSTRALIA INTERBANK 1 MTH (LDN:BBA) - OFFERED RATE"
1995-01-01,1995-01-31,-0.00005182286944409,0.00167272492444685,,0.00302332185413475,-0.00005182286944409,-0.00134652255054299
1995-02-01,1995-02-28,-0.00029143643800706,0.00197105722821254,,0.00316595567414778,-0.00144987597892475,-0.00139813087529367
1995-03-01,1995-03-31,-0.00031086472453846,0.00207490478009999,,0.00311397386776818,-0.00139813087529367,-0.00134638309396803
1995-04-01,1995-04-30,-0.00015543638797138,0.00223058061620217,,0.00363372492852292,-0.00159208291397331,-0.00116518442514225
1995-05-01,1995-05-31,-0.00056987438402758,0.00217887614734665,,0.00389418701312613,-0.00144995105926683,-0.00130764235689097
1995-06-01,1995-06-30,-0.00025907407072543,0.00232170223848335,,0.00394621208922472,-0.00119118537015312,-0.00119118537015312
1995-07-01,1995-07-31,-0.00051805420005440,0.00251637722770362,,0.00399803227319797,-0.00067341814039651,-0.00116524476848489
1995-08-01,1995-08-31,-0.00082892969206112,0.00269877680928885,,0.00415498676081496,-0.00067355770531782,-0.00134666203601018
1995-09-01,1995-09-30,-0.00072535104988458,0.00249091981415271,,0.00412896440761229,-0.00036274129170921,-0.00134666203601018
1995-10-01,1995-10-31,-0.00076419844116136,0.00286768827806061,,0.00449333898870883,-0.00025911434861111,-0.00126901927033572
1995-11-01,1995-11-30,-0.00079658725370634,0.00319273469105976,,0.00446097600461975,-0.00015548270869573,-0.00138553083327051
1995-12-01,1995-12-31,-0.00067352280866441,0.00299748720201949,,0.00451913607062991,0.00001295266227333,-0.00134659228966451
1996-01-01,1996-01-31,-0.00072546381044745,0.00321910973730215,,0.00436386998303739,0.00005183898811462,-0.00142452011294537
1996-02-01,1996-02-29,-0.00082927339675179,0.00303789813912080,,0.00403956567881746,0.00010370754481668,-0.00172256820783955
1996-03-01,1996-03-31,-0.00082284208297738,0.00305105471533020,,0.00381202918077843,0.00005185511681519,-0.00181323712418094
