Data,FI,EQ
2007-11-20,103.96,96.04
2007-11-21,104.02,95.05
2007-11-22,104.05,95.19
2007-11-23,104.03,95.84
2007-11-26,104.07,95.71
2007-11-27,104.04,96
2007-11-28,103.91,97.04
2007-11-29,103.98,97.44
2007-11-30,103.93,97.99
2007-12-03,104.03,97.9
2007-12-04,104.12,97.48
2007-12-05,104.1,98.22
2007-12-06,104,98.44
2007-12-07,103.81,98.91
2007-12-10,103.73,99.38
2007-12-11,103.74,99.54
2007-12-12,103.63,100.11
2007-12-13,103.64,98.79
2007-12-14,103.6,98.92
2007-12-17,103.64,97.88
2007-12-18,103.7,97.57
2007-12-19,103.72,97.17
2007-12-20,103.81,97.12
2007-12-21,103.81,97.12
2007-12-24,103.81,97.12
2007-12-25,103.81,97.12
2007-12-26,103.8,97.94
2007-12-27,103.78,97.95
2007-12-28,103.81,97.77
2007-12-31,103.83,97.7
2008-01-01,103.83,97.7
2008-01-02,104.05,97.13
2008-01-03,104.31,96.1
2008-01-04,104.37,94.74
2008-01-07,104.42,94.56
2008-01-08,104.43,95.33
2008-01-09,104.47,95.22
2008-01-10,104.54,94.82
2008-01-11,104.5,93.93
2008-01-14,104.73,93.99
2008-01-15,104.82,92.31
2008-01-16,104.82,92.31
2008-01-17,105.08,90.79
2008-01-18,105.12,89.95
2008-01-21,105.3,86.81
2008-01-22,105.3,86.95
2008-01-23,105.38,85.56
2008-01-24,105.24,88.18
2008-01-25,105.03,88.23
2008-01-28,105.29,87.76
2008-01-29,105.18,88.74
2008-01-30,105.23,88.5
2008-01-31,105.37,88.4
2008-02-01,105.35,89.62
2008-02-04,105.4,89.79
2008-02-05,105.53,88.08
2008-02-06,105.61,87.98
2008-02-07,105.71,87.24
2008-02-08,105.77,87.34
2008-02-11,105.82,86.62
2008-02-12,105.68,87.97
2008-02-13,105.63,88.39
2008-02-14,105.55,88.31
2008-02-15,105.6,87.2
2008-02-18,105.6,87.2
2008-02-19,105.6,88.04
2008-02-20,105.54,87.6
2008-02-21,105.45,88
2008-02-22,105.57,87.54
2008-02-25,105.57,88.75
2008-02-26,105.54,89.54
2008-02-27,105.6,89.6
2008-02-28,105.73,88.34
2008-02-29,105.94,87.08
2008-03-03,106.03,86.11
2008-03-04,105.98,85.31
2008-03-05,105.95,85.71
2008-03-06,105.87,85.36
2008-03-07,105.91,84.76
2008-03-10,106.03,83.99
2008-03-11,105.94,84.77
2008-03-12,105.86,85.21
2008-03-13,105.9,84.62
2008-03-14,105.87,84.17
2008-03-17,106.02,83.5
2008-03-18,106.03,83.65
2008-03-19,105.83,83.92
2008-03-20,105.83,83.92
2008-03-21,105.83,83.92
2008-03-24,105.88,84.36
2008-03-25,105.66,84.26
2008-03-26,105.56,84.36
2008-03-27,105.56,84.36
2008-03-28,105.62,84.39
2008-03-31,105.7,84.34
2008-04-01,105.64,84.97
2008-04-02,105.56,85.65
2008-04-03,105.62,85.7
2008-04-04,105.64,85.6
2008-04-07,105.59,86.03
2008-04-08,105.68,86.01
2008-04-09,105.68,85.65
2008-04-10,105.79,85.52
2008-04-11,105.95,85.4
2008-04-14,105.96,85.08
2008-04-15,105.77,85.13
2008-04-16,105.66,85.37
2008-04-17,105.46,85.81
2008-04-18,105.3,86.25
2008-04-21,105.39,85.77
2008-04-22,105.34,85.94
2008-04-23,105.29,86.43
2008-04-24,105.36,86.24
2008-04-25,105.26,86.24
2008-04-28,105.42,86.5
2008-04-29,105.52,86.3
2008-04-30,105.52,86.3
2008-05-01,105.53,86.72
2008-05-02,105.46,86.96
2008-05-05,105.51,86.99
2008-05-06,105.6,86.96
2008-05-07,105.55,86.95
2008-05-08,105.76,86.79
2008-05-09,105.76,86.79
2008-05-12,105.85,86.76
2008-05-13,105.75,86.52
2008-05-14,105.62,86.8
2008-05-15,105.44,87
2008-05-16,105.46,87.12
2008-05-19,105.49,87.27
2008-05-20,105.51,86.92
2008-05-21,105.3,86.55
2008-05-22,105.2,86.59
2008-05-23,105.29,86.25
2008-05-26,105.3,86.17
2008-05-27,105.16,86.18
2008-05-28,105.09,86.28
2008-05-29,104.95,86.49
2008-05-30,104.96,86.64
2008-06-02,105.02,86.41
2008-06-03,104.91,86.25
2008-06-04,104.95,86.14
2008-06-05,104.95,86.14
2008-06-06,104.95,86.14
