"Cliente","Data","Return_giornaliero"
"pippo102","2010-05-20 00:00:00.000",-0.000900890582408942
"pippo102","2010-05-21 00:00:00.000",0
"pippo102","2010-05-24 00:00:00.000",-0.000444773159043454
"pippo102","2010-05-25 00:00:00.000",0.000166835934244602
"pippo102","2010-05-26 00:00:00.000",-0.00065234367194067
"pippo102","2010-05-27 00:00:00.000",-0.000612108157551305
"pippo102","2010-05-28 00:00:00.000",0.00168106837485138
"pippo102","2010-05-31 00:00:00.000",0.000333014955275379
"pippo102","2010-06-01 00:00:00.000",0.000467797313520091
"pippo102","2010-06-02 00:00:00.000",2.22044604925031e-16
"pippo102","2010-06-03 00:00:00.000",0.000820802637824691
"pippo102","2010-06-04 00:00:00.000",0.000944411241238452
"pippo102","2010-06-07 00:00:00.000",-0.000735296397203045
"pippo102","2010-06-08 00:00:00.000",0.000485627424206214
"pippo102","2010-06-09 00:00:00.000",-0.00094243012419981
"pippo102","2010-06-10 00:00:00.000",-6.52704588001152e-05
"pippo102","2010-06-11 00:00:00.000",-5.80231870404013e-05
"pippo102","2010-06-14 00:00:00.000",4.77013137341054e-05
"pippo102","2010-06-15 00:00:00.000",0.00145757976182614
"pippo102","2010-06-16 00:00:00.000",0.000251658441299485
"pippo102","2010-06-17 00:00:00.000",0.00123374424710310
"pippo102","2010-06-18 00:00:00.000",0.000334541027378732
"pippo102","2010-06-21 00:00:00.000",-0.000236815589801265
"pippo102","2010-06-22 00:00:00.000",0
"pippo102","2010-06-23 00:00:00.000",0.000286111216836638
"pippo102","2010-06-24 00:00:00.000",0
"pippo102","2010-06-25 00:00:00.000",-0.000812993826758368
"pippo102","2010-06-28 00:00:00.000",0.00220920466230701
"pippo102","2010-06-29 00:00:00.000",-0.000722173046436625
"pippo102","2010-06-30 00:00:00.000",-0.00241244816712072
"pippo102","2010-07-01 00:00:00.000",-0.00109579231087409
"pippo102","2010-07-02 00:00:00.000",-0.00248507264635944
"pippo102","2010-07-05 00:00:00.000",0.00053158707686296
"pippo102","2010-07-06 00:00:00.000",-0.000792997935596618
"pippo102","2010-07-07 00:00:00.000",0.00218158997473128
"pippo102","2010-07-08 00:00:00.000",0.000691740510809336
"pippo102","2010-07-09 00:00:00.000",-7.20457319750567e-05
"pippo102","2010-07-12 00:00:00.000",0.000378779888139391
"pippo102","2010-07-13 00:00:00.000",0.000593377637221337
"pippo102","2010-07-14 00:00:00.000",0.000892490172174965
"pippo102","2010-07-15 00:00:00.000",-0.000128991415488167
"pippo102","2010-07-16 00:00:00.000",-0.00105386528388962
"pippo102","2010-07-19 00:00:00.000",-0.000801499262286232
"pippo102","2010-07-20 00:00:00.000",-0.00141385457378962
"pippo102","2010-07-21 00:00:00.000",0.00100349180127646
"pippo102","2010-07-22 00:00:00.000",-0.000101076803027622
"pippo102","2010-07-23 00:00:00.000",0.00024846077653784
"pippo102","2010-07-26 00:00:00.000",3.74804914411442e-05
"pippo102","2010-07-27 00:00:00.000",-0.00106348963692349
"pippo102","2010-07-28 00:00:00.000",0.00126731318950868
"pippo102","2010-07-29 00:00:00.000",0.000779926950288168
"pippo102","2010-07-30 00:00:00.000",-0.000769933263860434
"pippo102","2010-08-02 00:00:00.000",-0.000246618210290261
"pippo102","2010-08-03 00:00:00.000",0.00148713098419528
"pippo102","2010-08-04 00:00:00.000",-0.000234356504729694
"pippo102","2010-08-05 00:00:00.000",0.000836146710546659
"pippo102","2010-08-06 00:00:00.000",-0.000406929885979901
"pippo102","2010-08-09 00:00:00.000",-0.00117502979879336
"pippo102","2010-08-10 00:00:00.000",0.00153360615135023
